"REG";"DEP";"DEPCOM";"DCIRIS";"AN";"TYPEQU";"LAMBERT_X";"LAMBERT_Y";"QUALITE_XY"
11;"91";"91687";"91687_0102";2019;"E108";654869.519;6841949.68;"Bonne"
11;"91";"91521";"91521_0103";2019;"E108";656867.041;6840065.7;"Bonne"
11;"91";"91521";"91521_0111";2019;"E108";656361.872;6837515.26;"Bonne"
11;"91";"91521";"91521_0101";2019;"E108";658459.268;6838795.46;"Bonne"
11;"91";"91228";"91228_0116";2019;"E108";659637.08;6837285.72;"Bonne"
11;"91";"91286";"91286_0102";2019;"E108";655537.483;6839511.92;"Bonne"
11;"91";"91228";"91228_0106";2019;"E108";657911.767;6836352.17;"Bonne"
11;"91";"91228";"91228_0112";2019;"E108";659614.21;6836039.6;"Bonne"
11;"91";"91174";"91174_0301";2019;"E108";661164.92;6831913.96;"Bonne"
11;"91";"91386";"91386_0101";2019;"E108";658150.907;6830225.02;"Bonne"
11;"91";"91045";"91045";2019;"E108";653588.547;6825974;"Bonne"
11;"91";"91232";"91232";2019;"E108";652098.11;6820696.95;"Bonne"
11;"91";"91099";"91099";2019;"E108";653885.466;6815140.97;"Bonne"
11;"91";"91359";"91359";2019;"E108";655064.18;6810475.4;"Bonne"
11;"91";"91121";"91121";2019;"E109";654570.161;6807966.01;"Bonne"
11;"91";"91174";"91174_0402";2019;"E108";660459.39;6834132.16;"Bonne"
11;"91";"91659";"91659";2019;"E108";660296.646;6832646.88;"Bonne"
11;"91";"91179";"91179";2019;"E109";661602.009;6830528.1;"Bonne"
11;"91";"91179";"91179";2019;"E109";662538.616;6829675.99;"Bonne"
11;"94";"94078";"94078_0205";2019;"E108";658731.562;6849534.84;"Bonne"
11;"94";"94078";"94078_0103";2019;"E108";659264.413;6847923.44;"Bonne"
11;"77";"77288";"77288_0602";2019;"E108";674582.999;6825276.61;"Bonne"
